Nummer;Name;Beschreibung;Preis;Kategorie
500;Riesling;"QbA trocken<br/>Weingut Langenwalter · Pfalz<br/>
Kerniger Pfalzriesling, feinduftig, rassig und markant im Geschmack, anhaltend würzig.<br/>
(0,2 l)";6,90;Weißwein
501;Grauburgunder;"QbA trocken<br/>
WG Weingarten · Baden<br/>
Leicht rauchiger Duft, angenehm frisch und fruchtig. Am Gaumen ansprechend und pikant, zartherber Nachklang.<br/>
(0,2 l)";6,90;Weißwein
502;Sauvignon IGT Sicilia;"Bianco di Sicilia<br/>
Weingut Cataldo · Sizilien<br/>
frühlingsfrischer Weißwein von der Südwestküste Siziliens mit grasig-pikantem Bukett und Aromen von Grapefruit und Cassis<br/>
(0,2 l / 0,75 l)";8,50€ / 29,90;Weißwein
503;Müller-Thurgau;"QbA <br/>
Weingut Ernst Bretz · Rheinhessen<br/>
Würziger, sehr feiner Müller-Thurgau. Wein mit angenehm fruchtigem Sortencharakter, stoffig, lieblich<br/>
(0,2 l)";6,50;Weißwein
504;Chardonnay;"QbA trocken<br/>
Weingut Langenwalter · Pfalz<br/>
Frühlingsfrischer Chardonnay mit feiner Aromatik; am Gaumen Noten von hellem Kernobst, verhaltene Säure, ausgewogenes Finale.<br/>
(0,2 l / 0,75 l)";8,90€ / 31,50;Weißwein
505;Freistil (Gelber Muskateller);"QbA trocken<br/>
Weingut Philipp Kuhn · Pfalz<br/>
In einem Becken mit erfrischendem Säurespiel schwimmen sich Muskateller-typische Aromen von grünen Äpfeln, Mango, und Stachelbeere frei; Am Gaumen Nuancen von frisch gemähtem Heu und Anis. Sommerlich das ganze Jahr!<br/>
(0,1 l / 0,75 l)";4,90€ / 35,90;Weißwein
506;"Grillo ""Shamaris""";"Sicilia DOC<br/>
Weingut Cosumano · Sizilien<br/>
In der Nase zeigen sich neben Noten Pfirsich, Nektarine und Melone Anklänge von Orangenblüten, Haselnuss und Mandel. Am Gaumen zitrusfrisch und saftig mit zartem Säurespiel.<br/>
(0,1 l / 0,75 l)";4,90€ / 36,50;Weißwein
507;Sauvignon Blanc;"Qba trocken<br/>
Weingut Aldinger (Exklusiv WLS-Berlin) · Württemberg<br/>
Heiligs Blechle, was für ein schöner Sauvignon!<br/> Der in Schwaben auch als Muskat-Silvaner bekannte Wein kommt mit Aldiners Lesart filigran und dezent daher; keine laute Aromatik, stattdessen eine kühle, komplexe Stilistik und subtiler Kräuterwürze.<br/>
(0,75 l)";36,90;Weißwein
508;Riesling „Tradition“;"Qba trocken<br/>
Weingut Philipp Kuhn · Pfalz<br/>
Ein saftiger Pfälzer mit launigem Fruchtquartett: Apfel und Aprikose, Quitte und Weinbergpfirsich; finessenreich mit lebendigem Säurespiel.<br/>
(0,75 l)";34,90;Weißwein
509;Chardonnay Halbstück;"Qba trocken<br/>
Weingut Wagner-Stempel · Rheinhessen<br/>
Hellgelbe Farbe mit grünen Reflexen; fruchtbetont mit Anklängen von gelbem Apfel, Birne und Quitte, am Gaumen engmaschig mit beinahe cremiger Textur und mineralischem Finish.<br/>
(0,75L)";36,50;Weißwein
510;Grauburgunder Henkenberg;"Großes Gewächs<br/>
Weingut Salwey · Baden<br/>
Für Konrad Salwey ist der Grauburgunder im Henkenberg besonders wichtig. In der tat scheinen das Mikroklima und der Verwitterungsboden des ausgesprochen nährstoffreichen Leuzit-Thephrits (Vulkangestein) für diese Rebsorte ein einziges Wunschkonzert. Mit einem virtuosen Spiel, mal largo, mal allegro. Aber immer espressivo und maestoso! Für uns regelmäßig einer der schönsten deutschen Grauburgunder!!<br/>
(0,75L)";58,50;Weißwein
511;„Siener‘s“ Rosé;"QbA<br>
Weingut Siener · Pfalz<br>
Ein milder, süffiger Rosé mit Frucht nach Himbeere und Erdbeere. Sehr angenehm für alle, die keine Säure vertragen. Cuvée aus 30% Portugieser, 35% Dornfelder, 20% Regent und 15% St. Laurent.<br>
(0,2 l)";6,90;Rose
