Nummer;Name;Beschreibung;Preis;Kategorie
20;Bruschetta con Pomodoro;4 geröstete Weißbrotscheiben mit frischen Tomatenwürfeln, Zwiebel, Knoblauch und Basilikum;8,50;Antipasti
21;Foccacia Con Rosmarino;Pizzabrot mit Rosmarin und Olivenöl;8,50;Antipasti
22;Foccacia Con Pomodori;Pizzabrot mit frischen Tomatenwürfeln, Zwiebeln, Knoblauch und Basilikum;9,50;Antipasti
23;Mozzare Di Bufallo;Büffelmilch Mozzarella, mit Tomaten, Basilikum und Olivenöl;14,50;Antipasti
24;Antipasto Ballerino;mariniertes und gegrilltes Gemüse, Parmaschinken mit Honigmelone, Tomaten, Büffelmozzarella;16,50;Antipasti
25;Carpaccio Di Manzo;hauchdünne Scheiben vom rohen Rinderfilet (Argentinien) mit Parmesankäse, Champignons in dünnen Scheiben und Zitronen-Olivenöl;16,50;Antipasti
26;Vitello Tonnato;Kalbsnussbraten mit Thunfischsauce und Kapern;16,50;Antipasti
30;Insalata Mista;gemischter Salat mit Gurken, Tomaten, Oliven, roten Zwiebeln und Hausdressing;12,50;Salate
31;Insalata Tonno;gemischter Salat mit Thunfisch, roten Zwiebeln und Ei;14,50;Salate
32;Insalata Pecorino;gemischter Salat mit Schafskäse;14,50;Salate
33;Insalata Ballerino;gemischter Salat mit gebratenem Hähnchenbrustfilet und frischen Früchten;16,90;Salate
34;Insalata Di Rucola Parma;Rucolasalat mit getrockneten Tomaten, Oliven, Parmaschinken, gehobeltem Parmesankäse und Kirschtomaten;16,50;Salate
35;Insalata Frutti Di Mare;Meeresfrüchtesalat aus Scampi, Sepia, Calamari und Pulpo auf Rucolabett, dazu Knoblauch und eine hausgemachte Zitronenvinaigrette;16,90;Salate
40;Minestrone Gemüsesuppe;mit frischem Gemüse der Saison;7,90;Suppen
41;Crema Di Pomodoro;Tomatencremesuppe mit Mozzarellawürfeln;7,90;Suppen
